English Name,Entry Category,CN Translation (中文翻译),Translation Adoption Date,Translated by,Comments / Brief explanation,Affiliated Superpower,Affiliated Organization(s),Tags
Emil Varga,Human Name,埃米尔·瓦尔加,3309/2/6,ImperiusKang,联盟准将,Alliance,,
Maximo Fonseca,Human Name,马克西莫·冯塞卡,3309/2/6,ImperiusKang,Gateway Laboratories的博士；联盟派驻宙斯盾的科学联络官,Alliance,AEGIS,
Tom Gillespie,Human Name,汤姆·吉莱斯皮,3309/2/10,ImperiusKang,联邦国会议员,Federation,,
Daniel Parry,Human Name,丹尼尔·帕里,3309/2/10,ImperiusKang,联邦海军少将,Federation,,
Petra Olmanova,Human Name,佩特拉·奥尔玛诺娃,3309/2/13,ImperiusKang,工程师,,,
Chloe Sedesi,Human Name,克洛伊·塞德西,3309/2/16,ImperiusKang,工程师,,,
Warren Lamar,Human Name,沃伦·拉马尔,3309/2/16,ImperiusKang,联盟远征条约的安全主管,Alliance,,
Bryanna Blanco,Human Name,布里安娜·布兰科,3309/2/27,ImperiusKang,记者,,,
Jerome Archer,Human Name,杰罗姆·阿彻,3309/2/27,ImperiusKang,联邦副总统,,,
Harlow Nassry,Human Name,哈洛·纳斯里,3309/4/10,JHLSunny,《联邦时报》的科技记者,,,
Johann Fleischer,Human Name,约翰·弗莱舍,3309/3/31,JHLSunny,Caine-Massey的CEO，于该新闻内被刺杀,,,
Philippa Barlow-Lyons,Human Name,菲利帕·巴洛-莱昂斯,3309/3/31,JHLSunny,Caine-Massey的首席运营官（COO）,,,
Viola Trask,Human Name,维奥拉·特拉斯克,3309/3/31,JHLSunny,联邦调查局执行特工,,,
XXX Cooper,Human Name,库珀,3309/4/17,JHLSunny,马克西莫·冯塞卡的同事（宙斯盾科学研究团队）,,AEGIS,
Maximilian North,Human Name,马克西米利安·诺斯,3309/3/2,ImperiusKang,,,,
Arturo Durant,Human Name,阿图罗·杜兰特,3309/3/6,ImperiusKang,帝国参议员,Empire,,
Jed Trager,Human Name,杰德·特雷格,3309/3/7,ImperiusKang,联盟议员,Alliance,,
Tom Gillespie,Human Name,汤姆·吉莱斯皮,3309/3/16,ImperiusKang,国会议员,,,
Emil Varga,Human Name,埃米尔·瓦尔加,3309/3/16,ImperiusKang,海军准将,,,
Edwin Espinosa,Human Name,埃德温·埃斯皮诺萨,3309/3/21,ImperiusKang,联邦大检察官,Federation,,
Thandeka Qwabe,Human Name,桑德卡·科瓦贝,3309/3/21,ImperiusKang,联邦国会议员,Federation,,
Titus Torval,Human Name,提图斯·托瓦尔,3309/4/4,ImperiusKang,Zemina’s own grandson,Empire,,
Niko Shirakawa,Human Name,尼克·白川,3309/4/5,ImperiusKang,国会议员,,,
Karleen Troy,Human Name,卡里恩·特洛伊,3309/4/20,ImperiusKang,自由记者,,,
Alliance,Vocab,联盟,,,,Alliance,,
Alliance Defense Force,Vocab,联盟防御部队,,,,Alliance,,Organization
Chief Administrator,Vocab,首席行政官,3308/3/24,JHLSunny,,Alliance,,
Reorte Mining Coalition,Vocab,Reorte 采矿联盟,3308/3/24,JHLSunny,,Alliance,,Organization
Reorte Pro-Alliance League,Vocab,Reorte亲联盟同盟,3308/3/24,JHLSunny,,Alliance,,Organization
Strategic Defense Pact,Vocab,战略防御协议/协定,3308/3/9,,,Alliance,,
Alliance Council of Admirals,Vocab,联盟海军将领委员会,3308/4/13,,,Alliance,,Organization
Alliance Office of Diplomatic Relations,Vocab,联盟外交关系办公室,3309/4/18,JHLSunny,,Alliance,,Organization
Turner Research Group,Vocab,特纳研究集团,3309/2/2,JHLSunny,联盟在California Nebula的代表派系,Alliance,,Organization
Alliance Assembly,Vocab,联盟议会,,,Counciller译为委员,Alliance,,Organization
Alliance Interpol,Vocab,联盟星际刑警组织,3309/3/7,ImperiusKang,,Alliance,,Organization
Empire,Vocab,帝国,,,,Empire,,
Summerland System,System Name,夏地星系,3308/2/24,ImperiusKang,,Empire,,Star System
Lords of Restoration,Vocab,复元贵族,3308/2/24,ImperiusKang,,Empire,,Organization
Darkwater Inc,Vocab,黑水公司,3308/2/24,ImperiusKang,Note: The CG of 3308/2/24 has destroyed this organization. We will not see it again.,Empire,,Organization
Omega Grid,Vocab,欧米伽网格,3308/2/24,ImperiusKang,,Empire,,Organization
The Praotorian Vigil,Vocab,警卫军守夜,3308/2/24,ImperiusKang,,Empire,,Organization
Empress,Vocab,皇帝,3308/3/11,Pradur241,,Empire,,Human;Member of Duval Family
Arissa Lavigny-Duval,Human Name,阿里萨·拉维尼-杜瓦尔,3308/2/24,Pradur241,,Empire,,Human;Member of Duval Family
Aisling Duval,Human Name,爱丝琳·杜瓦尔,3308/3/11,Pradur241,,Empire,,Human;Member of Duval Family
Duval,Human Name,杜瓦尔,3308/3/11,Pradur241,,Empire,,Human;Member of Duval Family
Emperor Hesketh,Human Name,赫斯基皇帝,3308/3/11,Pradur241,,Empire,,Human;Member of Duval Family
Hadrian Duval,Human Name,哈德里昂·杜瓦尔,3308/3/11,Pradur241,,Empire,,Human;Member of Duval Family
Hector Duval,Human Name,赫克托·杜瓦尔,3308/3/11,Pradur241,,Empire,,Human;Member of Duval Family
Prince Herold,Human Name,哈罗德王子,3308/3/11,Pradur241,,Empire,,Human;Member of Duval Family
(Admiral) Lucius Lavigny,Human Name,海军上将卢修斯·拉维尼,3308/3/11,Pradur241,,Empire,,Human;Member of Duval Family
(Countess) Guinevere Lavigny,Human Name,伯爵夫人桂尼维尔·拉维尼,3308/3/11,Pradur241,,Empire,,Human;Member of Duval Family
Lucretia Roche-Duval,Human Name,卢克丽西亚·罗奇-杜瓦尔,3308/3/11,Pradur241,,Empire,,Human;Member of Duval Family
(Archduke) Otto Lombardo-Duval,Human Name,奥托·伦巴多-杜瓦尔,3308/3/11,Pradur241,,Empire,,Human;Member of Duval Family
Marlinism,Vocab,马琳主义,,,,,,Marlinism
Neo-Marlinism,Vocab,新马琳主义,,,,,,Marlinism
Marlinist Colonies,Vocab,马琳殖民地,,,,,,Marlinism
Marlist Constabulary,Vocab,马琳警察（署）,3307/11/17,JHLSunny,,,,Marlinism
First Minister Octavia Volkov,Vocab,首席部长奥克塔维亚·沃尔科夫,3308/4/4,,,,,Marlinism
The Free Marlinists of Carinae faction,Vocab,克莱尼派的自由马琳主义者,,,,,,Marlinism
Federation,Vocab,联邦,,,,,,
Hudson Contravention,Event Name,Hundson修宪事件,3308/2/22,Pradur241,,Federation,,Event
Federal Navy Auxiliaries,Vocab,联邦海军辅军,3308/3/25,Pradur241,,Federation,,Organization
Federal Security Services,Vocab,联邦安全部门,,Pradur241,,Federation,,
Commodities,Vocab,货物,,,,,,Commodity
Auto-fabricators,Commodities_Vocab,自动编织机,,,,,,Commodity
Classified Experimental Equipment,Commodities_Vocab,保密实验设备,3307/12/14,JHLSunny,,,,Commodity
Micro Controllers,Commodities_Vocab,微处理器,3308/3/3,AloneKnight,,,,Commodity
Resonating Separators,Commodities_Vocab,共振分离器,3308/3/3,AloneKnight,,,,Commodity
skimmer components,Commodities_Vocab,飞行器部件,3308/3/31,ImperiusKang,,,,Commodity
building fabricators,Commodities_Vocab,建造用装配机,3308/3/31,ImperiusKang,,,,Commodity
Carrier,Vocab,航母,,,,,,Carrier
Megaship,Vocab,巨型飞船,,,,,,Megaship
Onyx Storm,MegaShip_Name,玛瑙斯风暴号,3308/2/24,ImperiusKang,,,,Megaship
Heart of Taurus,MegaShip_Name,金牛座之心,3308/3/31,ImperiusKang,,,,Megaship
Kandula’s Truth,MegaShip_Name,坎杜拉的真言,3308/4/13,ImperiusKang,,,,Megaship
Song of Mecchi,MegaShip_Name,梅吉之歌,3308/4/13,ImperiusKang,,,,Megaship
Li Chyou Winds,MegaShip_Name,李奇欧风暴,3308/4/13,ImperiusKang,,,,Megaship
Starport,MegaShip_Name,星港,,,,,,Starport
Henry O'Hare's Hanger,Starport_Name,亨利·奥黑尔的机库,3308/2/24,ImperiusKang,,,,Starport
Davies High,Starport_Name,戴维斯高,,,,,,Starport
Outfitting,Vocab,舾装,3308/3/3,AloneKnight,,,,Starport Service
Ship Yard,Vocab,造船厂,3308/3/3,AloneKnight,,,,Starport Service
Tech Broker,Vocab,技术经纪人,3308/3/3,AloneKnight,,,,Starport Service
Promium Relay,Vocab,N/A,,,,,,Starport Service
Pioneer Supplies,Vocab,N/A,,,,,,Starport Service
Colonel,Vocab,上校,,,,,,Military Ranks
Captain,Vocab,上尉,,,"因Milo Castile在ACT期间军职为Captain，后于3308-4-12的新闻中使用Major军衔，因此断定为海军陆战队。
海军陆战队参考链接：https://www.wikiwand.com/zh-sg/美国海军陆战队",,,Military Ranks
Major,Vocab,少校,,,,,,Military Ranks
AEGIS,Organization,宙斯盾;（有时不翻译）,,,,,,Organization;Thargoid;Anti-Thargoid
Colonia Bridge,Vocab,Colonia大桥,,,,,,Starport
Decals,Vocab,贴花,,,,,,Ship
Faction,Vocab,派系,,,,,,
Far God,Vocab,远神教,,,,,,Organization;Thargoid;Pro-Thargoid
Heat sink,Vocab,散热片,,,,,,Ship Module
*Pilots' Federation ALERT*,Vocab,*飞行员联盟警告*,,,,,,
Paintjob,Vocab,涂装,,,,,,Ship
Salvation,Vocab,救赎,,,,,Salvation,Human;Thargoid;Anti-Thargoid
Sirius Corporation,Vocab,天狼星集团,3308/3/18,JHLSunny,,Li YongRui,,Organization
services,Vocab,服务部门;行政机构;警察服务,,JHLSunny,"注1：看上下文使用
注2：该词条针对类似“Federal Security Services”及“Gliese 868 Services”的翻译规范，Services在此为政府部门（提供某一服务的部门）",,,
Taurus Mining Ventures,Vocab,金牛座矿业投资公司,,,,,,Organization
Tourist Beacon,Vocab,旅行信标,,,,,,Independent Non-Dockable Structure
Federal Free Press,Vocab,《联邦自由报》,3308/2/22,,,Federation,,Press
Sol Today,Vocab,《今日太阳系》,3308/2/22,,,Federation,,Press
The Federal Times,Vocab,《联邦时代》,3308/2/22,,,Federation,,Press
The Empirical,Vocab,《实证》,3308/3/23,,,,,Press
The Alliance Tribune,Vocab,《联盟论坛报》,3308/3/18,JHLSunny,,Alliance,,Press
,,,,,,,,
